Model,Top-1 Acc (%),Top-5 Acc (%),Params,MACs,BOPs,Latency b1 (ms),Peak Memory (MB)
hbcc_accuracy_medium_cifar100,75.37,92.43,2863992,60674048,0,16.77839849005977,145.65380859375
resnet18_cifar100,74.23,90.32,11220132,556705792,0,3.1711267300124746,326.54052734375
hbcc_accuracy_small_cifar100,73.01,92.04,1558868,35903872,0,11.72461567002756,109.6689453125
shufflenet_v2_x1_0_cifar100,69.58,88.53,1356104,46220416,0,6.075276090050465,95.18408203125
mobilenet_v2_cifar100,66.16,86.26,2351972,25671936,0,4.729672870016657,123.8046875
coc_cifar_baseline_cifar100,61.19,80.66,2424704,34398400,0,10.75293479996617,71.90869140625
hbcc_latency_tiny_kd_cifar100,,,462236,6959744,0,6.387379570005578,44.4453125
hbcc_latency_tiny_cifar100,,,462236,6959744,0,6.325624710007105,44.4453125
hbcc_tiny_lbpconv_cifar100,,,477748,9801856,0,6.318045410007471,116.5048828125
hbcc_latency_small_cifar100,,,920302,14940416,0,7.917342130022007,54.19921875
hbcc_current_reference_cifar100,,,887470,52372224,0,6.82319951003592,174.05908203125
hbcc_tiny_hamming_late_cifar100,,,462236,6959744,5120,6.682195109970053,44.4453125
